"","County","SubCounty","AdminArea","Population","LandArea(in Sq. Km)","Population Density(No. per Sq. Km)"
"186","Kiambu County","Kikuyu","SubCounty",187122,172.9,1082
"187","Kiambu County","Lari","SubCounty",135303,432.3,313
"188","Kiambu County","Limuru","SubCounty",159314,285.1,559
"189","Kiambu County","Ruiru","SubCounty",371111,201.1,1846
"190","Kiambu County","Thika East","SubCounty",38956,109.9,354
"191","Kiambu County","Thika West","SubCounty",245820,91.4,2689
"192","Turkana County","Turkana","County",926976,68232.9,14
"193","Turkana County","Kibish","SubCounty",36769,10466.1,4
"194","Turkana County","Loima","SubCounty",107795,9113.3,12
"195","Turkana County","Turkana Central","SubCounty",185305,6415.2,29
"196","Turkana County","Turkana East","SubCounty",138526,11395.6,12
"197","Turkana County","Turkana North","SubCounty",65218,7012.2,9
"198","Turkana County","Turkana South","SubCounty",153736,7051.5,22
"199","Turkana County","Turkana West","SubCounty",239627,16778.9,14
"200","West Pokot County","West Pokot","County",621241,9123.2,68
"201","West Pokot County","Kipkomo","SubCounty",102633,765.6,134
"202","West Pokot County","Pokot Central","SubCounty",119016,2055.2,58
"203","West Pokot County","Pokot North","SubCounty",134485,3910.9,34
"204","West Pokot County","Pokot South","SubCounty",80661,536.7,150
"205","West Pokot County","West Pokot","SubCounty",184446,1854.8,99
"206","Samburu County","Samburu","County",310327,21065.1,15
"207","Samburu County","Samburu Central","SubCounty",164942,3674.4,45
"208","Samburu County","Samburu East","SubCounty",77994,10015.9,8
"209","Samburu County","Samburu North","SubCounty",67391,7374.8,9
"210","Trans Nzoia County","Trans Nzoia","County",990341,2495.2,397
"211","Trans Nzoia County","Trans Nzoia West","SubCounty",202377,355.4,569
"212","Trans Nzoia County","Trans Nzoia East","SubCounty",229538,629.1,365
"213","Trans Nzoia County","Kwanza","SubCounty",203821,465.3,438
"214","Trans Nzoia County","Endebess","SubCounty",111782,678.4,165
"215","Trans Nzoia County","Kiminini","SubCounty",242823,366.9,662
"216","Uasin Gishu County","Uasin Gishu","County",1163186,3392.2,343
"217","Uasin Gishu County","Ainabkoi","SubCounty",138184,492.9,280
"218","Uasin Gishu County","Kapseret","SubCounty",198499,299.3,663
"219","Uasin Gishu County","Kesses","SubCounty",148798,731,204
"220","Uasin Gishu County","Moiben","SubCounty",181338,769.8,236
"221","Uasin Gishu County","Soy","SubCounty",229094,667.6,343
"222","Uasin Gishu County","Turbo","SubCounty",267273,431.4,620
"223","Elgeyo/Marakwet County","Elgeyo/Marakwet","County",454480,3032,150
"224","Elgeyo/Marakwet County","Keiyo North","SubCounty",99176,543.2,183
"225","Elgeyo/Marakwet County","Keiyo South","SubCounty",120750,897.8,134
"226","Elgeyo/Marakwet County","Marakwet East","SubCounty",97041,853.2,114
"227","Elgeyo/Marakwet County","Marakwet West","SubCounty",137513,737.9,186
"228","Nandi County","Nandi","County",885711,2855.8,310
"229","Nandi County","Chesumei","SubCounty",164133,474.6,346
"230","Nandi County","Nandi Central","SubCounty",147553,362.9,407
"231","Nandi County","Nandi East","SubCounty",119173,397.6,300
"232","Nandi County","Nandi North","SubCounty",166171,606.3,274
"233","Nandi County","Nandi South","SubCounty",172750,457.4,378
"234","Nandi County","Tinderet","SubCounty",115931,557.1,208
"235","Baringo County","Baringo","County",666763,10976.4,61
"236","Baringo County","Baringo Central","SubCounty",96951,786.5,123
"237","Baringo County","Baringo North","SubCounty",104871,1629.3,64
"238","Baringo County","East Pokot","SubCounty",79923,2500.5,32
"239","Baringo County","Koibatek","SubCounty",129535,938.6,138
"240","Baringo County","Marigat","SubCounty",90955,1453.4,63
"241","Baringo County","Mogotio","SubCounty",91104,1375.3,66
"242","Baringo County","Tiaty East","SubCounty",73424,2106.5,35
"243","Laikipia County","Laikipia","County",518560,9532.2,54
"244","Laikipia County","Laikipia Central","SubCounty",95594,1232.6,78
"245","Laikipia County","Laikipia East","SubCounty",102815,1539,67
"246","Laikipia County","Laikipia North","SubCounty",36184,2575,14
"247","Laikipia County","Laikipia West","SubCounty",129263,3372.2,38
"248","Laikipia County","Nyahururu","SubCounty",154704,813.4,190
"249","Nakuru County","Nakuru","County",2162202,7462.4,290
"250","Nakuru County","Gilgil","SubCounty",185209,1075.4,172
"251","Nakuru County","Kuresoi North","SubCounty",175074,618.1,283
"252","Nakuru County","Kuresoi South","SubCounty",155324,548.2,283
"253","Nakuru County","Molo","SubCounty",156732,483.2,324
"254","Nakuru County","Naivasha","SubCounty",355383,1958.4,181
"255","Nakuru County","Nakuru East","SubCounty",193926,230.9,840
"256","Nakuru County","Nakuru North","SubCounty",218050,387.3,563
"257","Nakuru County","Nakuru West","SubCounty",198661,71.9,2764
"258","Nakuru County","Njoro","SubCounty",238773,699.5,341
"259","Nakuru County","Rongai","SubCounty",199906,988.1,202
"260","Nakuru County","Subukia","SubCounty",85164,401.5,212
"261","Narok County","Narok","County",1157873,17950.3,65
"262","Narok County","Narok East","SubCounty",115323,2042,56
"263","Narok County","Narok North","SubCounty",251862,2159.4,117
"264","Narok County","Narok South","SubCounty",238472,4577.3,52
"265","Narok County","Narok West","SubCounty",195287,5563,35
"266","Narok County","Trans Mara East","SubCounty",111183,309.8,359
"267","Narok County","Trans Mara West","SubCounty",245714,2545.9,97
"268","Narok County","Mau Forest*","Special Area",32,752.9,0
"269","Kajiado County","Kajiado","County",1117840,21871.1,51
"270","Kajiado County","Isinya","SubCounty",210473,1071.6,196
"271","Kajiado County","Kajiado Central","SubCounty",161862,4239.5,38
"272","Kajiado County","Kajiado North","SubCounty",306596,110.6,2773
"273","Kajiado County","Kajiado West","SubCounty",182849,7862.1,23
"274","Kajiado County","Loitokitok","SubCounty",191846,6336.7,30
"275","Kajiado County","Mashuuru","SubCounty",64214,2250.7,29
"276","Kericho County","Kericho","County",901777,2436.1,370
"277","Kericho County","Belgut","SubCounty",145072,264.3,549
"278","Kericho County","Bureti","SubCounty",199470,320.6,622
"279","Kericho County","Kericho East","SubCounty",170625,240.6,709
"280","Kericho County","Kipkelion","SubCounty",122530,349.9,350
"281","Kericho County","Londiani","SubCounty",137580,399.5,344
"282","Kericho County","Soin Sigowet","SubCounty",126500,466.2,271
"283","Kericho County","Mau Forest","Special Area",0,201.2,0
"284","Kericho County","Tinderet Forest*","Special Area",0,193.7,0
"285","Bomet County","Bomet","County",875689,2530.9,346
"286","Bomet County","Bomet East","SubCounty",144275,305,473
"287","Bomet County","Chepalungu","SubCounty",164837,460.5,358
"288","Bomet County","Konoin","SubCounty",163507,392.5,417
"289","Bomet County","Sotik","SubCounty",227855,544.3,419
"290","Bomet County","Bomet Central","SubCounty",175215,286.1,613
"291","Bomet County","Mau Forest*","Special Area",0,542.3,0
"292","Kakamega County","Kakamega","County",1867579,3020,618
"293","Kakamega County","Butere","SubCounty",154100,210.1,734
"294","Kakamega County","Kakamega Central","SubCounty",188212,155.2,1212
"295","Kakamega County","Kakamega East","SubCounty",167641,417.2,402
"296","Kakamega County","Kakamega North","SubCounty",238330,420.8,566
"297","Kakamega County","Kakamega South","SubCounty",111743,146.2,764
"298","Kakamega County","Khwisero","SubCounty",113476,145.6,780
"299","Kakamega County","Likuyani","SubCounty",152055,316.1,481
"300","Kakamega County","Lugari","SubCounty",122728,254.3,483
"301","Kakamega County","Matete","SubCounty",66172,102.7,644
"302","Kakamega County","Matungu","SubCounty",166940,279.1,598
"303","Kakamega County","Mumias East","SubCounty",116851,150.2,778
"304","Kakamega County","Mumias West","SubCounty",115354,163.3,706
"305","Kakamega County","Navakholo","SubCounty",153977,259.3,594
"306","Vihiga County","Vihiga","County",590013,563.8,1047
"307","Vihiga County","Emuhaya","SubCounty",97141,89,1091
"308","Vihiga County","Vihiga","SubCounty",95292,90.1,1058
"309","Vihiga County","Sabatia","SubCounty",131628,111.4,1181
"310","Vihiga County","Luanda","SubCounty",106694,84.3,1265
"311","Vihiga County","Hamisi","SubCounty",159241,157.2,1013
"312","Vihiga County","Kakamega Forest*","Special Area",17,31.7,1
"313","Bungoma County","Bungoma","County",1670570,3023.9,552
"314","Bungoma County","Bumula","SubCounty",215892,345.2,625
"315","Bungoma County","Bungoma Central","SubCounty",177748,232.7,764
"316","Bungoma County","Bungoma East","SubCounty",114548,163.3,702
"317","Bungoma County","Bungoma North","SubCounty",121317,191.5,633
"318","Bungoma County","Bungoma South","SubCounty",287765,321.2,896
"319","Bungoma County","Cheptais","SubCounty",136035,222.9,610
"320","Bungoma County","Kimilili-Bungoma","SubCounty",162038,179.6,902
"321","Bungoma County","Mt Elgon","SubCounty",78873,126.5,624
"322","Bungoma County","Bungoma West","SubCounty",119875,211,568
"323","Bungoma County","Tongaren","SubCounty",100343,185.3,542
"324","Bungoma County","Webuye West","SubCounty",152515,238.9,638
"325","Bungoma County","Mt Elgon Forest*","Special Area",3621,605.8,6
"326","Busia County","Busia","County",893681,1696.3,527
"327","Busia County","Bunyala","SubCounty",85977,192.2,447
"328","Busia County","Busia","SubCounty",142408,196,727
"329","Busia County","Butula","SubCounty",140334,243.6,576
"330","Busia County","Nambale","SubCounty",111636,238.1,469
"331","Busia County","Samia","SubCounty",107176,262.4,408
"332","Busia County","Teso North","SubCounty",138034,261,529
"333","Busia County","Teso South","SubCounty",168116,302.9,555
"334","Siaya County","Siaya","County",993183,2529.8,393
"335","Siaya County","Siaya","SubCounty",224343,598.9,375
"336","Siaya County","Gem","SubCounty",179792,405.3,444
"337","Siaya County","Ugenya","SubCounty",134354,323.5,415
"338","Siaya County","Ugunja","SubCounty",104241,201,519
"339","Siaya County","Bondo","SubCounty",197883,598.8,330
"340","Siaya County","Rarieda","SubCounty",152570,402.4,379
"341","Kisumu County","Kisumu","County",1155574,2085.4,554
"342","Kisumu County","Kisumu East","SubCounty",220997,141.6,1560
"343","Kisumu County","Kisumu Central","SubCounty",174145,36.8,4737
"344","Kisumu County","Kisumu West","SubCounty",172821,209,827
"345","Kisumu County","Seme","SubCounty",121667,267.7,455
"346","Kisumu County","Muhoroni","SubCounty",154116,657.5,234
"347","Kisumu County","Nyando","SubCounty",161508,446.1,362
"348","Kisumu County","Nyakach","SubCounty",150320,326.7,460
"349","Homa Bay County","Homa Bay","County",1131950,3152.5,359
"350","Homa Bay County","Homa Bay","SubCounty",117439,182,645
"351","Homa Bay County","Ndhiwa","SubCounty",218136,713.5,306
"352","Homa Bay County","Rachuonyo North","SubCounty",178686,435.4,410
"353","Homa Bay County","Rachuonyo East","SubCounty",121822,250.9,486
"354","Homa Bay County","Rachuonyo South","SubCounty",130814,256.1,511
"355","Homa Bay County","Rangwe","SubCounty",117732,274.1,429
"356","Homa Bay County","Suba North","SubCounty",124938,406.3,307
"357","Homa Bay County","Suba South","SubCounty",122383,634.1,193
"358","Migori County","Migori","County",1116436,2613.5,427
"359","Migori County","Awendo","SubCounty",117290,255.3,459
"360","Migori County","Kuria East","SubCounty",96872,187.6,516
"361","Migori County","Kuria West","SubCounty",208513,395.7,527
"362","Migori County","Nyatike","SubCounty",176162,676.9,260
"363","Migori County","Rongo","SubCounty",124587,213.4,584
"364","Migori County","Suna East","SubCounty",122674,205.1,598
"365","Migori County","Suna West","SubCounty",128890,287.5,448
"366","Migori County","Uriri","SubCounty",141448,392.1,361
"367","Kisii County","Kisii","County",1266860,1323,958
"368","Kisii County","Etago","SubCounty",83787,108.4,773
"369","Kisii County","Gucha","SubCounty",83740,82.1,1020
"370","Kisii County","Gucha South","SubCounty",83623,94.9,881
"371","Kisii County","Kenyenya","SubCounty",131740,141.7,930
"372","Kisii County","Kisii Central","SubCounty",166906,135.8,1229
"373","Kisii County","Kisii South","SubCounty",135134,128.3,1054
"374","Kisii County","Kitutu Central","SubCounty",154175,100.3,1537
"375","Kisii County","Marani","SubCounty",107464,128.4,837
"376","Kisii County","Masaba South","SubCounty",122396,161.2,759
"377","Kisii County","Nyamache","SubCounty",130898,162.7,805
"378","Kisii County","Sameta","SubCounty",66997,79.1,847
"379","Nyamira County","Nyamira","County",605576,897.3,675
"380","Nyamira County","Borabu","SubCounty",73167,246.9,296
"381","Nyamira County","Manga","SubCounty",94209,111.5,845
"382","Nyamira County","Masaba North","SubCounty",111860,141.7,789
"383","Nyamira County","Nyamira North","SubCounty",167267,215.7,775
"384","Nyamira County","Nyamira South","SubCounty",159073,181.5,876
"385","Nairobi City County","Nairobi City","County",4397073,703.9,6247
"386","Nairobi City County","Dagoretti","SubCounty",434208,29.1,14908
"387","Nairobi City County","Embakasi","SubCounty",988808,86.3,11460
"388","Nairobi City County","Kamukunji","SubCounty",268276,10.5,25455
"389","Nairobi City County","Kasarani","SubCounty",780656,86.2,9058
"390","Nairobi City County","Kibra","SubCounty",185777,12.1,15311
"391","Nairobi City County","Lang'ata","SubCounty",197489,216.8,911
"392","Nairobi City County","Makadara","SubCounty",189536,11.7,16150
"393","Nairobi City County","Mathare","SubCounty",206564,3,68941
"394","Nairobi City County","Njiru","SubCounty",626482,129.9,4821
"395","Nairobi City County","Starehe","SubCounty",210423,20.6,10205
"396","Nairobi City County","Westlands","SubCounty",308854,97.5,3167
