"","County/SubCounty","Sex_Total","Sex_Male","Sex_Female","Households_Total","Households_Conventional","Households_GroupQuarters","LandArea(Sq km)","Density(Persons per Sq km)"
"144","MIRANGINE",67214,33447,33766,18816,17880,936,246,274
"145","KIPIPIRI",93855,46113,47740,25200,25077,123,456,206
"146","NYANDARUA CENTRAL",75262,37329,37931,21942,21852,90,347,217
"147","NYANDARUA WEST",97965,48752,49209,29008,29003,5,385,255
"148","NYANDARUA NORTH",98698,48486,50210,27917,27906,11,528,187
"149","ABERDARE NATIONAL PARK",15,11,4,11,9,2,717,NA
"150","NYERI",759164,374288,384845,248050,244564,3486,3325,228
"151","TETU",80453,39293,41155,24139,24122,17,217,372
"152","KIENI EAST",110376,55360,55012,36835,36751,84,449,246
"153","KIENI WEST",88525,43843,44677,27619,27530,89,518,171
"154","MATHIRA EAST",99065,48070,50992,35044,33945,1099,130,760
"155","MATHIRA WEST",59895,29480,30412,19020,18892,128,162,369
"156","NYERI SOUTH",91081,44115,46964,28228,28103,125,169,538
"157","MUKURWE-INI",89137,43975,45156,27040,27036,4,179,498
"158","NYERI CENTRAL",140338,69955,70380,49945,48036,1909,168,837
"159","MT. KENYA FOREST",188,123,65,101,101,NA,611,NA
"160","ABERDARE FOREST",106,74,32,79,48,31,722,NA
"161","KIRINYAGA",610411,302011,308369,204188,203576,612,1478,413
"162","KIRINYAGA CENTRAL",122740,60118,62617,40225,40149,76,153,800
"163","KIRINYAGA EAST",135559,67037,68514,44571,44509,62,232,585
"164","KIRINYAGA WEST",114660,56154,58502,38309,37951,358,208,552
"165","MWEA EAST",132554,66432,66114,46340,46331,9,303,437
"166","MWEA WEST",104828,52228,52594,34720,34613,107,239,438
"167","MOUNT KENYA FOREST",70,42,28,23,23,NA,343,NA
"168","MURANG'A",1056640,523940,532669,318105,317496,609,2523,419
"169","MURANG'A EAST",110311,54665,55645,34734,34650,84,241,458
"170","KANGEMA",80447,39582,40862,25293,25283,10,174,463
"171","MATHIOYA",92814,45454,47359,28400,28372,28,178,523
"172","KAHURO",88193,43352,44834,26930,26778,152,169,521
"173","MURANG'A SOUTH",184824,91732,93087,55998,55878,120,457,405
"174","GATANGA",187989,94437,93548,55461,55340,121,531,354
"175","KIGUMO",136921,67989,68929,40552,40528,24,244,561
"176","KANDARA",175098,86698,88393,50704,50657,47,235,746
"177","ABERDARE FOREST",43,31,12,33,10,23,295,NA
"178","KIAMBU",2417735,1187146,1230454,795241,792333,2908,2539,952
"179","GATUNDU NORTH",109870,54189,55678,31472,31452,20,286,384
"180","GATUNDU SOUTH",122103,60384,61714,35609,35577,32,194,631
"181","GITHUNGURI",165232,82037,83187,49426,49414,12,174,948
"182","JUJA",300948,148446,152480,104301,104042,259,342,880
"183","KABETE",199653,97794,101845,66710,66681,29,61,3289
"184","KIAMBAA",236400,115690,120695,80332,80316,16,91,2595
"185","KIAMBU",145903,69661,76225,47275,46816,459,98,1483
"186","KIKUYU",187122,90919,96198,60686,60619,67,173,1082
"187","LARI",135303,67061,68238,38592,38585,7,432,313
"188","LIMURU",159314,79632,79682,49174,49096,78,285,559
"189","RUIRU",371111,180947,190144,129470,127910,1560,201,1846
